Full_Address,Bedrooms,Bathrooms,Price,Latitude,Longitude,City_Brampton,City_Markham,City_Mississauga,City_Toronto,City_Vaughan,Home_Type_CONDO,Home_Type_SINGLE_FAMILY,Home_Type_TOWNHOUSE
"100 Upper Madison Ave #805, Toronto, ON M2N 6M4",2,2,828000,43.76594,-79.28816,0,0,0,1,0,0,0,1
"75 Ashbourne Dr, Toronto, ON M9B 4H4",4,5,2699900,43.780003,-79.13361,0,0,0,1,0,0,0,1
"4 Park Vis #302, Toronto, ON M4B 3M8",1,1,469900,43.659096,-79.368935,0,0,0,1,0,0,0,1
"217 Saint George St TOWNHOUSE 11, Toronto, ON M5R 3S7",2,1,699000,43.661182,-79.512566,0,0,0,1,0,0,0,1
"30 Shore Breeze Dr #3116, Toronto, ON M8V 0J1",1,1,749991,43.811195,-79.21862,0,0,0,1,0,0,1,0
"410 McLevin Ave #612, Toronto, ON M1B 5J5",1,1,499990,43.673008,-79.466774,0,0,0,1,0,0,0,1
"40 Mendelssohn St #4, Toronto, ON M1L 0G8",2,2,749000,43.682037,-79.49429,0,0,0,1,0,0,1,0
"200 Sackville St #1201, Toronto, ON M5A 0C4",1,1,579000,43.765854,-79.38277,0,0,0,1,0,1,0,0
"2240 Lake Shore Blvd W #1107, Toronto, ON M8V 0B1",2,2,874900,43.623016,-79.515976,0,0,0,1,0,1,0,0
"21 Caswell Dr, Toronto, ON M2M 3M1",4,5,3995000,43.74976,-79.3009,0,0,0,1,0,0,1,0
"1236 Gerrard St E, Toronto, ON M4L 1Y6",4,3,1248000,43.764236,-79.41274,0,0,0,1,0,1,0,0
"185 Roehampton Ave #813, Toronto, ON M4P 0C6",1,1,599000,43.769886,-79.413536,0,0,0,1,0,1,0,0
"845 Dovercourt Rd, Toronto, ON M6H 2X4",5,3,1299999,43.734104,-79.26264,0,0,0,1,0,1,0,0
"1100 Kingston Rd #401, Toronto, ON M1N 0B3",1,1,629900,43.71251,-79.38542,0,0,0,1,0,0,1,0
